question,category
What is admission process?,admission
How can I apply for admission?,admission
What documents are required for admission?,admission
What is the B.Tech fee?,fees
Tell me the fee structure.,fees
How much is CSE fee?,fees
Is hostel available?,hostel
Hostel fee?,hostel
Tell me about hostel facilities.,hostel
What courses are offered?,courses
Which branches are available?,courses
Tell me about CSE.,courses
Placement details?,placement
How are placements?,placement
Top recruiters?,placement
Scholarship available?,scholarship
How to apply for scholarship?,scholarship
Library timing?,library
Is library available?,library
Faculty details?,faculty
Who are the faculty members?,faculty
Exam timetable?,exam
When are exams conducted?,exam